sweep,comparison,rmse_p00,rmse_coh
angle,new_vs_ed,0.18162269007308396,0.3478611042037638
angle,new_vs_ordered,0.20800425516829352,0.3758321304289241
angle,ordered_vs_ed,0.03905853889175846,0.03195280636225178
angle,raw_vs_ed,0.29026604539957274,0.15821710165622638
angle,raw_vs_ordered,0.32843569383799415,0.18929445936595504
coupling,new_vs_ed,0.5832931046152082,1.2035944248762003
coupling,new_vs_ordered,0.5857667650624583,1.2097882392513721
coupling,ordered_vs_ed,0.0098601398849012,0.024482961941966787
coupling,raw_vs_ed,0.023172734969584115,0.09382269377091476
coupling,raw_vs_ordered,0.030518825813795367,0.10821698035407126
temperature,new_vs_ed,0.07411049426910839,1.6904033867249071e-16
temperature,new_vs_ordered,0.12223302069944209,7.16208821001757e-17
temperature,ordered_vs_ed,0.095903468498079,2.395124664434986e-16
temperature,raw_vs_ed,0.5837501720623005,2.9931037153386935e-17
temperature,raw_vs_ordered,0.6777497999970051,2.2105200979551332e-16
