g,ordered_p00,ordered_ratio,ordered_u_inferred,compact_plus_p00,compact_plus_ratio,compact_minus_p00,compact_minus_ratio,k_needed_for_delta,run_factor
0.0,0.017986209962091555,0.01831563888873418,0.0,0.01798620996209155,0.01831563888873417,0.01798620996209155,0.01831563888873417,,1.0
0.1,0.02891531045538099,0.02977630145620003,0.2383073439180349,0.02788168037754063,0.028681365030101488,0.011560968409652372,0.011696187665769702,1.0418614502281676,0.8807201247849755
0.2,0.06208511295590239,0.06619482621879245,0.5665474360972853,0.06423559892962005,0.06864505516147415,0.004863150330747024,0.004886916138582705,0.9350859913041673,0.6486186646427915
0.30000000000000004,0.1169496608004585,0.13243827175976156,0.7570127526384413,0.12625052986132312,0.14449282566235527,0.002316278344947298,0.002321655946340224,0.9209847374636126,0.4506716548025762
0.4,0.1870264602666579,0.23005233396403424,0.852512071678488,0.19352572642451726,0.23996515792937323,0.0013960123245813638,0.0013979638994142658,0.9457714714321561,0.315761048264196
0.5,0.25783015715632535,0.3474004766461965,0.8998368509851199,0.25024611634985783,0.3337710171390459,0.001004059029733606,0.0010050681775127357,0.9747963589504259,0.22800534535880673
0.6000000000000001,0.3157531868910264,0.4614609536233812,0.9236493018851408,0.29319225680119043,0.41481189138405045,0.0008080567650513015,0.000808710248838842,0.9943817531933409,0.1701941849160696
0.7000000000000001,0.3568729754167177,0.5549027824603631,0.9360954281768284,0.32467141601782146,0.48076066039341425,0.0006972881547990806,0.0006977747048354807,1.0037426746296019,0.13095364900367465
0.8,0.3844703231438391,0.624617037325535,0.9430247067342081,0.34775554641343037,0.533167502615297,0.0006287924337020079,0.0006291880623950176,1.0066914945978644,0.10343607456602524
0.9,0.4031760288987993,0.6755359174915488,0.9472058865608545,0.36491055906422487,0.57458136688046,0.0005834976655482715,0.0005838383338531325,1.006705082814567,0.08354084067729511
1.0,0.4164279200048932,0.7135843784856619,0.9499504346114397,0.37788485608451405,0.6074194781791866,0.000551970219208775,0.0005522750585939306,1.0057729956696049,0.06875948371264842
1.1,0.4263255488976174,0.7431489202253702,0.9518936536979664,0.38787665840860824,0.6336576831071505,0.0005291265846629756,0.0005294067078261853,1.0047856239856803,0.0575123410554085
1.2000000000000002,0.4340765133917513,0.7670233232292648,0.9533560926626172,0.3957054359016765,0.6548221006954021,0.0005120335117568264,0.0005122958243868455,1.0040566149877455,0.04877438357157885
1.3,0.4403768562348796,0.7869168048913114,0.9545084427975751,0.4019375654382433,0.67206622956142,0.0004989021172898678,0.0004991511448528825,1.0036462898986414,0.04186127325008708
1.4000000000000001,0.445641554977254,0.8038870138597215,0.9554473855624067,0.4069705790783168,0.6862569793684187,0.0004885906214276425,0.0004888294589167468,1.0035204759133898,0.036304020188842684
1.5,0.45013046691491176,0.8186132161013137,0.956231312184948,0.4110882584464045,0.6980473124239659,0.00048034207011704577,0.00048057290950323875,1.0036193893073753,0.03177350948791483
1.6,0.4540153027955285,0.8315531646219371,0.9568977263006355,0.4144966332524702,0.7079321090073287,0.0004736382708133702,0.0004738627103280929,1.0038842903954068,0.028033798169910105
1.7000000000000002,0.4574155002390932,0.8430309019897476,0.9574720788451668,0.41734772331680026,0.7162895263922927,0.00046811461090856543,0.0004683338448241106,1.00426595101707,0.024912454065398416
1.8,0.4604179423513787,0.8532862348273362,0.9579724655463496,0.4197554132226228,0.7234111662357836,0.00046350838059056043,0.000463723320235765,1.004725900343252,0.022281256333402864
1.9000000000000001,0.4630882048915323,0.8625033182554287,0.9584122509167647,0.42180623106091175,0.7295239999470633,0.0004596263323339289,0.00045983768584294184,1.0052351598204967,0.020043354358236287
2.0,0.4654772558102505,0.8708277821102621,0.9588016096027441,0.42356678305648254,0.7348063411446087,0.00045632369997328226,0.00045653202635670566,1.005772374784395,0.01812454678790887
