sweep,param_name,param,beta,theta,g,delta_z_exact,u_exact,u_ordered_inferred,d_exact,d_ordered_inferred,d_scale_ordered_over_exact,d_diff_ordered_minus_exact
beta_theta_pi2_g05,beta,0.2,0.2,1.5707963267948966,0.5,0.033668172561782006,0.03365545685492865,0.0326625500356528,0.033668172561782006,0.03267417273828586,0.9704765733372629,-0.0009939998234961486
beta_theta_pi2_g05,beta,0.5625,0.5625,1.5707963267948966,0.5,0.2742065562241978,0.2675346853250497,0.2126308707934232,0.2742065562241978,0.2159251899535478,0.7874545121269902,-0.058281366270650004
beta_theta_pi2_g05,beta,0.925,0.925,1.5707963267948966,0.5,0.7966223489211967,0.6621442394463677,0.45413721099009124,0.7966223489211969,0.489900189800595,0.6149716869781878,-0.30672215912060186
beta_theta_pi2_g05,beta,1.2874999999999999,1.2874999999999999,1.5707963267948966,0.5,1.7474499870527178,0.9410846184513985,0.6671821082831072,1.7474499870527185,0.8056473256174586,0.4610417073946009,-0.9418026614352599
beta_theta_pi2_g05,beta,1.65,1.65,1.5707963267948966,0.5,3.4405530332660788,0.9979480923682195,0.8144447802590278,3.4405530332660668,1.140091137706491,0.33136856972793677,-2.3004618955595757
beta_theta_pi2_g05,beta,2.0125,2.0125,1.5707963267948966,0.5,6.505015969127549,0.9999955244754509,0.9020819404578412,6.505015969115885,1.4832866607924966,0.22802198608500793,-5.021729308323388
beta_theta_pi2_g05,beta,2.375,2.375,1.5707963267948966,0.5,12.188939986601262,0.9999999999482571,0.949928759710766,12.188940117837815,1.8310506601342909,0.15022230336948272,-10.357889457703523
beta_theta_pi2_g05,beta,2.7375000000000003,2.7375000000000003,1.5707963267948966,0.5,22.977112099675793,0.9999999999999999,0.9748468460250498,18.714973875118524,2.1816314163851307,0.11657143798023678,-16.533342458733394
beta_theta_pi2_g05,beta,3.1,3.1,1.5707963267948966,0.5,43.84458885499513,0.9999999999999999,0.9874962174777913,18.714973875118524,2.5342998715302882,0.13541562432526977,-16.180674003588237
beta_theta_pi2_g05,beta,3.4625,3.4625,1.5707963267948966,0.5,84.80463746854207,0.9999999999999999,0.9938262696187193,18.714973875118524,2.8887537825259284,0.15435521319997747,-15.826220092592596
beta_theta_pi2_g05,beta,3.825,3.825,1.5707963267948966,0.5,166.09799882284548,0.9999999999999999,0.9969666659992621,18.714973875118524,3.244861148179959,0.17338315136490723,-15.470112726938565
beta_theta_pi2_g05,beta,4.1875,4.1875,1.5707963267948966,0.5,328.7814382780479,0.9999999999999999,0.9985155223059191,18.714973875118524,3.6025484779353953,0.1924955119881288,-15.112425397183129
beta_theta_pi2_g05,beta,4.55,4.55,1.5707963267948966,0.5,656.3680215650929,0.9999999999999999,0.9992760012078676,18.714973875118524,3.9617529747658478,0.21168893962673285,-14.753220900352677
beta_theta_pi2_g05,beta,4.9125,4.9125,1.5707963267948966,0.5,1319.1137274179173,0.9999999999999999,0.9996479848536765,18.714973875118524,4.322403755729642,0.23095964678188832,-14.392570119388882
beta_theta_pi2_g05,beta,5.275,5.275,1.5707963267948966,0.5,2664.751696550276,0.9999999999999999,0.9998293286880011,18.714973875118524,4.68441642224125,0.2503031237713434,-14.030557452877275
beta_theta_pi2_g05,beta,5.6375,5.6375,1.5707963267948966,0.5,5404.564552287971,0.9999999999999999,0.9999174644500265,18.714973875118524,5.047693680300906,0.2697141718702473,-13.667280194817618
beta_theta_pi2_g05,beta,6.0,6.0,1.5707963267948966,0.5,10995.27655448963,0.9999999999999999,0.9999601795311559,18.714973875118524,5.412128377719502,0.2891870655996428,-13.302845497399023
g_beta2_theta_pi2,g,0.0,2.0,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
g_beta2_theta_pi2,g,0.1,2.0,1.5707963267948966,0.1,0.2546171852154821,0.2492539517626597,0.2383073439180349,0.2546171852154821,0.24297877250002037,0.9542905452135442,-0.011638412715461732
g_beta2_theta_pi2,g,0.2,2.0,1.5707963267948966,0.2,1.0184687408619284,0.7692421099882529,0.5665474360972853,1.0184687408619282,0.6424235135559919,0.6307739136031904,-0.37604522730593626
g_beta2_theta_pi2,g,0.30000000000000004,2.0,1.5707963267948966,0.30000000000000004,2.2915546669393394,0.9797607868477248,0.7570127526384413,2.2915546669393385,0.9891806921900631,0.43166358038983166,-1.3023739747492753
g_beta2_theta_pi2,g,0.4,2.0,1.5707963267948966,0.4,4.073874963447714,0.9994213959062841,0.852512071678488,4.073874963447741,1.2652757715160272,0.31058286836698046,-2.808599191931714
g_beta2_theta_pi2,g,0.5,2.0,1.5707963267948966,0.5,6.365429630387052,0.999994083201437,0.8998368509851199,6.3654296303898406,1.4713614734312441,0.23114880830771717,-4.894068156958596
g_beta2_theta_pi2,g,0.6000000000000001,2.0,1.5707963267948966,0.6000000000000001,9.166218667757358,0.9999999781549211,0.9236493018851408,9.166218667173775,1.613321081924025,0.1760072654279653,-7.55289758524975
g_beta2_theta_pi2,g,0.7000000000000001,2.0,1.5707963267948966,0.7000000000000001,12.476242075558623,0.9999999999708724,0.9360954281768284,12.476241243978574,1.7055188263413634,0.13670133439945306,-10.770722417637211
g_beta2_theta_pi2,g,0.8,2.0,1.5707963267948966,0.8,16.295499853790854,0.999999999999986,0.9430247067342081,16.296832921642782,1.7646917213365374,0.10828433535653195,-14.532141200306244
g_beta2_theta_pi2,g,0.9,2.0,1.5707963267948966,0.9,20.62399200245405,0.9999999999999999,0.9472058865608545,18.714973875118524,1.8038755243583446,0.09638675086565786,-16.91109835076018
g_beta2_theta_pi2,g,1.0,2.0,1.5707963267948966,1.0,25.461718521548207,0.9999999999999999,0.9499504346114397,18.714973875118524,1.8312727054542437,0.09785066854348713,-16.88370116966428
g_beta2_theta_pi2,g,1.1,2.0,1.5707963267948966,1.1,30.808679411073335,0.9999999999999999,0.9518936536979664,18.714973875118524,1.851570588320872,0.09893524835653268,-16.863403286797652
g_beta2_theta_pi2,g,1.2000000000000002,2.0,1.5707963267948966,1.2000000000000002,36.66487467102943,0.9999999999999999,0.9533560926626172,18.714973875118524,1.8673809651525741,0.0997800465880024,-16.84759290996595
g_beta2_theta_pi2,g,1.3,2.0,1.5707963267948966,1.3,43.03030430141647,0.9999999999999999,0.9545084427975751,18.714973875118524,1.8801836260731943,0.10046413308505284,-16.83479024904533
g_beta2_theta_pi2,g,1.4000000000000001,2.0,1.5707963267948966,1.4000000000000001,49.904968302234494,0.9999999999999999,0.9554473855624067,18.714973875118524,1.8908517251481693,0.10103416321954092,-16.824122149970353
g_beta2_theta_pi2,g,1.5,2.0,1.5707963267948966,1.5,57.28886667348347,0.9999999999999999,0.956231312184948,18.714973875118524,1.899928214853395,0.10151914865237088,-16.815045660265127
g_beta2_theta_pi2,g,1.6,2.0,1.5707963267948966,1.6,65.18199941516342,0.9999999999999999,0.9568977263006355,18.714973875118524,1.9077699779086361,0.10193815875131987,-16.807203897209888
g_beta2_theta_pi2,g,1.7000000000000002,2.0,1.5707963267948966,1.7000000000000002,73.58436652727433,0.9999999999999999,0.9574720788451668,18.714973875118524,1.9146241677562246,0.10230439970326162,-16.8003497073623
g_beta2_theta_pi2,g,1.8,2.0,1.5707963267948966,1.8,82.4959680098162,0.9999999999999999,0.9579724655463496,18.714973875118524,1.9206698873692125,0.10262744154416024,-16.794303987749313
g_beta2_theta_pi2,g,1.9000000000000001,2.0,1.5707963267948966,1.9000000000000001,91.91680386278904,0.9999999999999999,0.9584122509167647,18.714973875118524,1.9260418585843235,0.10291448288608021,-16.7889320165342
g_beta2_theta_pi2,g,2.0,2.0,1.5707963267948966,2.0,101.84687408619283,0.9999999999999999,0.9588016096027441,18.714973875118524,1.9308444769961386,0.10317110191445086,-16.784129398122385
g_beta2_theta_pi4,g,0.0,2.0,0.7853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
g_beta2_theta_pi4,g,0.1,2.0,0.7853981633974483,0.1,0.12730859260774108,0.12634309757324313,0.13282014032280673,0.1270218643136816,0.13360954807373318,1.051862597007577,0.006587683760051588
g_beta2_theta_pi4,g,0.2,2.0,0.7853981633974483,0.2,0.5092343704309643,0.4548527528492767,0.3749926614776202,0.4908020186318466,0.3942201408379837,0.8032162172782147,-0.0965818777938629
g_beta2_theta_pi4,g,0.30000000000000004,2.0,0.7853981633974483,0.30000000000000004,1.1457773334696697,0.7370451000070437,0.5622436404444845,0.9439790978289981,0.6361078995741706,0.6738580346080942,-0.30787119825482756
g_beta2_theta_pi4,g,0.4,2.0,0.7853981633974483,0.4,2.0369374817238572,0.8271009794876486,0.6747390165527289,1.178889048942941,0.8193923675187988,0.6950546942933371,-0.35949668142414226
g_beta2_theta_pi4,g,0.5,2.0,0.7853981633974483,0.5,3.1827148151935267,0.8393069793333364,0.7369161281568337,1.2188241485061286,0.9436967969652973,0.7742682142636855,-0.27512735154083134
g_beta2_theta_pi4,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,4.583109333878679,0.8401368554701593,0.7709283873727067,1.2216385616412082,1.0226122635673973,0.837082501876472,-0.1990262980738109
g_beta2_theta_pi4,g,0.7000000000000001,2.0,0.7853981633974483,0.7000000000000001,6.2381210377793135,0.8401669652794064,0.7902655445492438,1.2217409255540042,1.0721385020152319,0.8775497976619434,-0.1496024235387723
g_beta2_theta_pi4,g,0.8,2.0,0.7853981633974483,0.8,8.147749926895429,0.8401675563194229,0.8020579548297487,1.2217429350809947,1.1043551561775156,0.9039177755542356,-0.11738777890347918
g_beta2_theta_pi4,g,0.9,2.0,0.7853981633974483,0.9,10.311996001227028,0.8401675626217475,0.8098591427029783,1.2217429565088385,1.1266195739162426,0.9221412473991965,-0.0951233825925959
g_beta2_theta_pi4,g,1.0,2.0,0.7853981633974483,1.0,12.730859260774107,0.8401675626583228,0.8154258263272675,1.2217429566331943,1.143011963110486,0.9355584633451292,-0.07873099352270829
g_beta2_theta_pi4,g,1.1,2.0,0.7853981633974483,1.1,15.404339705536671,0.8401675626584384,0.819649141728594,1.2217429566335871,1.1557474079786407,0.9459824603067148,-0.06599554865494639
g_beta2_theta_pi4,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,18.332437335514715,0.8401675626584387,0.823003154644665,1.2217429566335882,1.166054297791102,0.9544186782169535,-0.055688658842486305
g_beta2_theta_pi4,g,1.3,2.0,0.7853981633974483,1.3,21.515152150708243,0.8401675626584386,0.8257557382540228,1.221742956633588,1.174645582755279,0.9614506687985483,-0.047097373878308924
g_beta2_theta_pi4,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,24.952484151117254,0.8401675626584386,0.8280685039751385,1.221742956633588,1.1819595537900527,0.967437174384737,-0.03978340284353532
g_beta2_theta_pi4,g,1.5,2.0,0.7853981633974483,1.5,28.644433336741738,0.8401675626584387,0.8300454050409262,1.2217429566335882,1.188282372062847,0.9726124186850734,-0.03346058457074119
g_beta2_theta_pi4,g,1.6,2.0,0.7853981633974483,1.6,32.590999707581716,0.8401675626584386,0.8317572717101691,1.221742956633588,1.1938116474656533,0.9771381459444651,-0.027931309167934737
g_beta2_theta_pi4,g,1.7000000000000002,2.0,0.7853981633974483,1.7000000000000002,36.79218326363717,0.8401675626584386,0.8332547630345981,1.221742956633588,1.198690552322676,0.9811315431075364,-0.023052404310911934
g_beta2_theta_pi4,g,1.8,2.0,0.7853981633974483,1.8,41.24798400490811,0.8401675626584387,0.8345755523693001,1.2217429566335882,1.2030269231609616,0.9846808746708906,-0.018716033472626625
g_beta2_theta_pi4,g,1.9000000000000001,2.0,0.7853981633974483,1.9000000000000001,45.958401931394526,0.8401675626584386,0.8357485272167666,1.221742956633588,1.2069044850056627,0.9878546697999295,-0.014838471627925287
g_beta2_theta_pi4,g,2.0,2.0,0.7853981633974483,2.0,50.92343704309643,0.8401675626584386,0.8367963742387511,1.221742956633588,1.210389786605188,0.9907073988298793,-0.011353170028399973
