n_modes,n_cut,n_points,rmse_ed_vs_ordered_p00,rmse_ed_vs_v12_p00,rmse_ed_vs_raw_p00,p00_at_beta2,p00_at_beta10
2,4,12,0.2342772513904566,0.06942003694719089,0.7337520081314194,0.2075740011294792,0.23923624091461804
2,6,12,0.21397686874968883,0.054892335056008296,0.6728090489891517,0.26789122113502484,0.3022718738940819
2,8,12,0.20976096330033006,0.0721116667020765,0.6389981492059217,0.30595159176287495,0.33635116985068686
2,10,12,0.20992004882096474,0.08843949042243307,0.6173478111911124,0.331708957126988,0.3579998720582071
2,12,12,0.21137954762410394,0.10119680689096305,0.6021740004913333,0.3501821476198061,0.3731483587806967
3,3,12,0.27745004903518355,0.13174919689053924,0.809729780480916,0.149967911806252,0.15650128167378477
3,4,12,0.25031054623468485,0.09601220018125006,0.7675667946599569,0.178737270372959,0.2058128915236708
3,5,12,0.23363002838531044,0.07327752011941023,0.7360307904235189,0.20263407235207753,0.24100984896312486
3,6,12,0.22345729544145376,0.06094871257024576,0.7120563599179415,0.22276138785044924,0.26674378730921344
