delta,bandwidth,n_cut,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_best_p00,rmse_ed_vs_ordered_p00,rmse_ed_vs_best_coh,rmse_ed_vs_ordered_coh,p00_at_beta2,p00_at_beta8
0.2,0.40000000000000013,4,1.8,2.2,0.0,0.6990292757659671,0.20182961000986882,0.008337268946058829,3.823285822636455e-17,1.4314132901096848e-17,0.05024009460427636,0.017579086141793234
0.2,0.40000000000000013,5,1.8,2.2,0.0,0.6990292757659671,0.20183051642751554,0.008354192185585524,3.9393785836619297e-17,1.2746851241630686e-17,0.050251237330760104,0.017579121997725013
0.2,0.40000000000000013,6,1.8,2.2,0.0,0.6990292757659671,0.20183091370958195,0.008361625964192041,3.577734231174456e-17,1.790905687452662e-17,0.05025213940267756,0.01757912220834485
0.4,0.7999999999999998,4,1.6,2.4,0.0,0.6626272662068448,0.199753116573647,0.016283090686942763,3.7785555868093755e-17,1.9180352021097538e-17,0.07565781724916519,0.03602467835786117
0.4,0.7999999999999998,5,1.6,2.4,0.0,0.6626272662068448,0.1997565414908111,0.016321358601372973,3.839195598486505e-17,2.1966855478098493e-17,0.07571838654946181,0.03602555225311983
0.4,0.7999999999999998,6,1.6,2.4,0.0,0.6626272662068448,0.1997584257693089,0.016338808900376065,3.690925040196467e-17,1.627712673380005e-17,0.07572566430189526,0.036025565055783186
0.8,1.5999999999999999,4,1.2,2.8,0.0,0.5918327134598556,0.1761694591457602,0.027486785008088696,5.000023220167732e-17,8.869717489725194e-18,0.13085852009344673,0.07774507653331136
0.8,1.5999999999999999,5,1.2,2.8,0.0,0.5918327134598556,0.17613868966144963,0.02765136249429014,2.1731342595843937e-17,7.144000848391512e-17,0.13166119594332434,0.07779875438395942
0.8,1.5999999999999999,6,1.2,2.8,0.0,0.5918327134598556,0.17615078186665306,0.02773044790819334,3.540772018842116e-17,2.1832716408460184e-17,0.13185157873094255,0.07780156164062886
1.2,2.4000000000000004,4,0.8,3.2,0.0,0.524930946786104,0.1306019986571672,0.028165542804360524,4.2458030652241796e-17,9.816671670344356e-17,0.1877796628678638,0.13662226357973356
1.2,2.4000000000000004,5,0.8,3.2,0.0,0.524930946786104,0.12900116656536303,0.029568575118995775,2.7115044770177186e-17,4.120960464114756e-17,0.1929487769990735,0.13839311236819773
1.2,2.4000000000000004,6,0.8,3.2,0.0,0.524930946786104,0.12877359427815063,0.03028104568795456,6.386840813087147e-17,1.1992409252495987e-16,0.19515425450825813,0.13868870670027852
1.6,3.2,4,0.3999999999999999,3.6,0.0,0.46283688702044223,0.07690035660994242,0.02984142812449981,1.1401287077750873e-16,1.6996009528361072e-16,0.22021120384942153,0.2164693983004007
1.6,3.2,5,0.3999999999999999,3.6,0.0,0.46283688702044223,0.06437566493581971,0.04477607675813329,5.608476090030641e-17,9.504686576958077e-17,0.23487300406865264,0.23526716395044897
1.6,3.2,6,0.3999999999999999,3.6,0.0,0.46283688702044223,0.05841785305250504,0.05380778675893128,1.1896150579359406e-16,1.7791066211609906e-16,0.24483606734019422,0.24529164064348907
2.0,3.9,4,0.1,4.0,0.02499999999999991,0.4060058497098381,0.11110272521404468,0.038596004267374646,1.8149318210567776e-16,2.5226272310791617e-16,0.1824660626843271,0.18707527584975156
2.0,3.9,5,0.1,4.0,0.02499999999999991,0.4060058497098381,0.09162891253019842,0.02150927171735684,2.8427879125813116e-16,3.541808381457564e-16,0.19666778010682137,0.2136470188793691
2.0,3.9,6,0.1,4.0,0.02499999999999991,0.4060058497098381,0.07687570708301247,0.01853046035778738,5.0651821487422696e-17,4.7038564815926736e-17,0.2088445693126732,0.2345732113421547
2.4,4.300000000000001,4,0.1,4.4,0.12500000000000022,0.35457010675946843,0.11001405223763953,0.04165001040208222,2.975797065260198e-17,7.218630964639149e-17,0.18245526838339066,0.18980361825191333
2.4,4.300000000000001,5,0.1,4.4,0.12500000000000022,0.35457010675946843,0.08951868532203192,0.02338988788576289,7.326498616412618e-17,2.332873864261021e-17,0.19770539107420898,0.21776240096597513
2.4,4.300000000000001,6,0.1,4.4,0.12500000000000022,0.35457010675946843,0.07416277268672931,0.01944196054787567,2.8314361582200735e-16,3.4571844443843715e-16,0.21081028090948994,0.23963045703167626
3.0,4.9,4,0.1,5.0,0.27500000000000013,0.2872974951836458,0.10894601300729037,0.04549840594039751,4.0557902388787716e-17,6.6338102231745e-17,0.18176188380887354,0.19283985487305405
3.0,4.9,5,0.1,5.0,0.27500000000000013,0.2872974951836458,0.08703272171934946,0.025736468027364404,3.4310113276756716e-16,4.0484089167581196e-16,0.19858191425013677,0.22261197759542434
3.0,4.9,6,0.1,5.0,0.27500000000000013,0.2872974951836458,0.07088092607163252,0.02075311544884553,5.305771383995166e-17,1.1467658223980229e-16,0.21303544396973942,0.24564431410045975
