g,ordered_p00,ordered_coh,ordered_ratio,analytic_p00,analytic_coh,analytic_ratio,delta_p00,delta_coh,ratio_rel_err,fit_delta_p00_a*g,fit_delta_p00_a*g^2,fit_delta_p00_a*g^2/(1+b*g^2),fit_ratio_rel_a*g,fit_ratio_rel_a*g^2,fit_ratio_rel_a*g^2/(1+b*g^2)
0.0,0.017986209962091555,0.0,0.01831563888873418,0.01798620996209155,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,-3.3306690738754696e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.1,0.02336712020528197,0.012347306444990458,0.023926206754572493,0.022646813074274685,0.01131824029438838,0.023171575411249718,-0.0007203071310072848,-0.001029066150602078,-0.0315399491053282,-0.001793282841164142,-0.00010671718102321862,-0.0005233487710851601,-0.012922166548414438,-0.0007533342143935905,-0.0059602615949492675
0.2,0.0387330200231973,0.04718362692899279,0.04029371738549888,0.03747973238177954,0.04733987546661672,0.03893916174308104,-0.001253287641417758,0.0001562485376239292,-0.03361704330872495,-0.003586565682328284,-0.0004268687240928745,-0.002005923193422724,-0.025844333096828875,-0.003013336857574362,-0.02209815400004656
0.30000000000000004,0.06135364535012318,0.0972444771975775,0.0653639627386702,0.059885294492364405,0.10175161785153218,0.06369998697130051,-0.001468350857758774,0.004507140653954675,-0.02545708212371378,-0.005379848523492427,-0.0009604546292089676,-0.004219477809868016,-0.03876649964524332,-0.006780007929542315,-0.04432075456324704
0.4,0.08617844214964597,0.1502814154490515,0.09430554730222114,0.08201209242382013,0.1554863834828158,0.08933896813560618,-0.004166349725825844,0.005204968033764301,-0.052664761604092614,-0.007173131364656568,-0.001707474896371498,-0.0068746688085264225,-0.05168866619365775,-0.012053347430297448,-0.0683931693632726
0.5,0.10787756975607238,0.19458177143437683,0.12092238251040957,0.09898589582933093,0.19670713990188982,0.10986053977528096,-0.00889167392674145,0.002125368467512989,-0.09147886855583875,-0.00896641420582071,-0.002667929525580465,-0.009699875168194816,-0.06461083274207219,-0.018833355359839758,-0.09136102474646113
0.6000000000000001,0.12403357441628797,0.2257805859514722,0.14159626532904673,0.11071573806978013,0.22519297529637447,0.12449982846819765,-0.013317836346507836,-0.0005876106550977422,-0.12074073296438814,-0.010759697046984854,-0.0038418185168358704,-0.012487559736454594,-0.07753299929048664,-0.02712003171816926,-0.11174583757021514
0.7000000000000001,0.13520235091735844,0.24598853222425193,0.15633986870891492,0.1186578169589822,0.24448025532028372,0.13463308490416356,-0.01654453395837624,-0.0015082769039682087,-0.1388435591254502,-0.012552979888148996,-0.005229141870137712,-0.01510511688142484,-0.09045516583890108,-0.036913376505285936,-0.12911676463307442
0.8,0.1429146767845573,0.258986841802572,0.16674498199128923,0.12411693590837436,0.2577376854377192,0.14170491586921535,-0.01879774087618294,-0.0012491563648527881,-0.15016983313705945,-0.014346262729313136,-0.006829899585485992,-0.01748372561180794,-0.1033773323873155,-0.04821338972118979,-0.14360559901496533
0.9,0.14845621517109192,0.2676930406150363,0.1743377355527522,0.12797054074291553,0.26709613636501145,0.14675024952934337,-0.020485674428176393,-0.0005969042500248434,-0.15824162184933988,-0.016139545570477278,-0.008644091662880707,-0.01959973637186557,-0.11629949893572994,-0.06102007136588082,-0.1555746097580937
1.0,0.15264871163127142,0.2738770862599036,0.18014808465700433,0.13076898521192853,0.2738921381245252,0.15044215287671425,-0.021879726419342882,1.5051864621584699e-05,-0.16489729456102253,-0.01793282841164142,-0.01067171810232186,-0.02145729961449156,-0.12922166548414438,-0.07533342143935903,-0.16543753129764582
1.1,0.15597252413081664,0.2785292926779147,0.18479555297675043,0.1328558083106018,0.27895997263309386,0.15321074578354474,-0.02311671582021485,0.00043067995517914737,-0.1709175717944872,-0.019726111252805562,-0.012912778903809452,-0.023075410008258763,-0.14214383203255881,-0.09115343994162445,-0.17357952369804555
1.2000000000000002,0.15870551189639676,0.28219874553336727,0.1886444213537419,0.13444930042287062,0.28282975647860664,0.15533382445252109,-0.024256211473526135,0.0006310109452393742,-0.17657875415651714,-0.021519394093969708,-0.015367274067343482,-0.024479454489772057,-0.15506599858097328,-0.10848012687267704,-0.18032961676633735
1.3,0.16101317158252257,0.2851984734313641,0.19191382525781783,0.1356916968554321,0.28584690705464766,0.15699455432945864,-0.02532147472709048,0.0006484336232835397,-0.1819528680721595,-0.023312676935133846,-0.018035203592923946,-0.025696233616066013,-0.1679881651293877,-0.1273134822325168,-0.18595737609278795
1.4000000000000001,0.162999041883211,0.28771552436849174,0.19474176260198175,0.1366781637281545,0.2882425345816383,0.1583165836721832,-0.026320878155056487,0.0005270102131465504,-0.18704349002039833,-0.025105959776297992,-0.02091656748055085,-0.026751313397558096,-0.18091033167780216,-0.14765350602114374,-0.19067911267808765
1.5,0.16473165114097577,0.2898680177051373,0.19722003277868608,0.13747401663683467,0.2901752575023873,0.15938536263081066,-0.027257634504141093,0.00030723979725000294,-0.19183989382220745,-0.02689924261746213,-0.024011365730224183,-0.027667806015212706,-0.19383249822621657,-0.16950019823855783,-0.1946667771099507
1.6,0.16625890076292388,0.2917348139672737,0.19941310427788786,0.1381251534953779,0.29175653856239864,0.1602612653746093,-0.028133747267545972,2.1724595124950064e-05,-0.19633533636144274,-0.028692525458626272,-0.027319598341943967,-0.02846596531771745,-0.206754664774631,-0.19285355888475916,-0.19805666031993194
1.7000000000000002,0.16761590632106335,0.29337130497107455,0.20136846390257357,0.1386645274748739,0.29306640429469405,0.16098782866605893,-0.02895137884618945,-0.000304900676380504,-0.20053107847141183,-0.030485808299790418,-0.03084126531571018,-0.029163213114351712,-0.21967683132304547,-0.21771358795974766,-0.20095689221466853
1.8,0.16882942488271946,0.2948181145893819,0.2031224756228854,0.13911626203716732,0.2941634383484951,0.16159703790707852,-0.029713162845552143,-0.0006546762408867757,-0.2044354648025386,-0.032279091140954556,-0.034576366651522826,-0.029774370238554733,-0.23259899787145988,-0.24408028546352328,-0.20345354177227926
1.9000000000000001,0.16992046738094824,0.29610609880561073,0.20470383945598356,0.13949832932425793,0.29509128593813716,0.16211279312765484,-0.030422138056690307,-0.001014812867473569,-0.20806178546292908,-0.0340723739821187,-0.03852490234938192,-0.030311966122072567,-0.24552116441987434,-0.2719536513960861,-0.20561543738184196
2.0,0.17090591693543924,0.29725935390629976,0.2061357334787914,0.13982433253943788,0.29588298234251514,0.16255322933306368,-0.031081584396001366,-0.0013763715637846174,-0.21142624527159815,-0.03586565682328284,-0.04268687240928744,-0.030786560316444413,-0.25844333096828875,-0.30133368575743613,-0.20749792061060662
