sweep,beta,theta,g,sigma_plus,sigma_minus,delta_z,tex_vs_direct_max_abs,tex_p00,direct_p00,ordered_p00,tex_coh,direct_coh,ordered_coh,tex_ratio,direct_ratio,ordered_ratio,tex_minus_ordered_p00,direct_minus_ordered_p00,tex_minus_ordered_coh,direct_minus_ordered_coh
g,2.0,0.7853981633974483,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.01798620996209156,0.017986209962091555,0.017986209962091555,0.0,0.0,0.0,0.018315638888734182,0.01831563888873418,0.01831563888873418,3.469446951953614e-18,0.0,0.0,0.0
g,2.0,0.7853981633974483,0.3333333333333333,6.746824414162784,0.12357239961550115,1.4145399178637896,1.1102230246251565e-16,0.13148895444606135,0.13148895444606135,0.06967770785385975,0.27564046945928866,0.27564046945928866,0.11526785139985582,0.15139583442165358,0.1513958344216536,0.07489631114086469,0.061811246592201594,0.061811246592201594,0.16037261805943284,0.16037261805943284
g,2.0,0.7853981633974483,0.6666666666666666,26.987297656651137,0.4942895984620046,5.6581596714551585,1.1102230246251565e-16,0.1741450985204983,0.17414509852049834,0.1319399970801408,0.3792305600025303,0.37923056000253036,0.2402333647666001,0.21086645875506824,0.2108664587550683,0.15199409791528168,0.04220510144035752,0.04220510144035755,0.1389971952359302,0.13899719523593027
g,2.0,0.7853981633974483,1.0,60.72141972746506,1.1121515965395103,12.730859260774107,5.551115123125783e-17,0.17414742207031292,0.1741474220703129,0.15264871163127142,0.3792362027238991,0.37923620272389913,0.2738770862599036,0.21086986554777065,0.21086986554777062,0.18014808465700433,0.021498710439041502,0.021498710439041474,0.10535911646399548,0.10535911646399554
g,2.0,0.7853981633974483,1.3333333333333333,107.94919062660455,1.9771583938480184,22.632638685820634,1.6653345369377348e-16,0.17414742207042638,0.17414742207042636,0.16170695416402409,0.37923620272417463,0.37923620272417446,0.28608423572671393,0.210869865547937,0.210869865547937,0.1929002691448598,0.012440467906402297,0.01244046790640227,0.0931519669974607,0.09315196699746053
g,2.0,0.7853981633974483,1.6666666666666665,168.67061035406957,3.089309990387528,35.36349794659473,2.220446049250313e-16,0.17414742207042627,0.17414742207042633,0.1671806975792071,0.3792362027241744,0.3792362027241744,0.29284865174168506,0.21086986554793682,0.21086986554793696,0.20074066138147317,0.006966724491219184,0.006966724491219239,0.08638755098248935,0.08638755098248935
g,2.0,0.7853981633974483,2.0,242.88567890986025,4.448606386158041,50.92343704309643,1.1102230246251565e-16,0.17414742207042627,0.17414742207042622,0.17090591693543924,0.37923620272417435,0.37923620272417435,0.29725935390629976,0.21086986554793682,0.2108698655479368,0.2061357334787914,0.003241505134987027,0.0032415051349869717,0.08197684881787459,0.08197684881787459
beta,0.2,1.5707963267948966,0.5,2.507953698854585e-18,1.6811316388714444e-18,0.033668172561782006,1.1102230246251565e-16,0.4175926563915064,0.4175926563915065,0.4171092362821627,1.0128205657007837e-18,1.0128205657007837e-18,1.1104833838429517e-17,0.7170113168631693,0.7170113168631697,0.7155873145453969,0.00048342010934371293,0.00048342010934382396,-1.0092013272728733e-17,-1.0092013272728733e-17
beta,0.8,1.5707963267948966,0.5,7.37964794202594e-17,1.4899252235214632e-17,0.5780881146848951,1.1102230246251565e-16,0.3908302193771613,0.3908302193771614,0.3053042363607263,1.7095767516588763e-17,1.7095767516588766e-17,3.964291885040851e-18,0.6415784758356881,0.6415784758356883,0.4394790530481167,0.08552598301643499,0.0855259830164351,1.3131475631547912e-17,1.3131475631547915e-17
beta,1.4,1.5707963267948966,0.5,4.3860903019702814e-16,2.667184259426739e-17,2.172203539036362,4.440892098500626e-16,0.8241044716631848,0.8241044716631843,0.27212811706167744,8.212126507506266e-17,8.212126507506262e-17,1.2339862630941608e-17,4.685192849730324,4.685192849730313,0.37386815377883836,0.5519763546015073,0.5519763546015068,6.978140244412105e-17,6.9781402444121e-17
beta,2.0,1.5707963267948966,0.5,1.8590573077230756e-15,3.4049822321718244e-17,6.365429630387052,1.1102230246251565e-15,0.9998385024799816,0.9998385024799805,0.25783015715632535,1.460036229717477e-16,1.460036229717475e-16,1.952466153046355e-17,6191.045548966998,6191.045548932467,0.3474004766461965,0.7420083453236563,0.7420083453236552,1.2647896144128415e-16,1.2647896144128395e-16
beta,3.0,1.5707963267948966,0.5,1.6208908151001642e-14,4.01778663606804e-17,36.63659844440013,2.2426505097428162e-14,0.9999999999999776,1.0,0.2448354522059162,2.212119688949834e-16,2.2121196889498833e-16,9.392004833357971e-18,44653229516713.67,999999999999999.9,0.3242147064783519,0.7551645477940614,0.7551645477940838,2.1181996406162544e-16,2.1181996406163037e-16
beta,4.0,1.5707963267948966,0.5,1.2759726695256136e-13,4.2804114485084565e-17,230.67774851421007,1.4791141972893971e-31,1.0,1.0,0.23770353261231625,2.765703839542659e-16,2.7657038395426607e-16,1.6076428284534047e-18,999999999999999.9,999999999999999.9,0.3118255728337602,0.7622964673876838,0.7622964673876838,2.749627411258125e-16,2.7496274112581267e-16
beta,6.0,1.5707963267948966,0.5,7.291268444878455e-12,4.4799101650454377e-17,10995.27655448963,9.034705839990526e-12,0.9999999999909653,1.0,0.2358184352128152,3.315636677567416e-16,3.3156366775973713e-16,5.139259822745521e-18,110684289859.73648,999999999999999.9,0.3085895369361439,0.7641815647781501,0.7641815647871848,3.264244079339961e-16,3.264244079369916e-16
