beta,ed_p00,best_p00,ordered_p00,ed_coh,best_coh,ordered_coh,elapsed_s
0.4,0.3367294469938401,0.3548111143421617,0.3633605926033967,4.421666414549749e-18,2.917353835927309e-18,8.973611644727497e-18,0.29704099999980826
0.6333333333333333,0.28324438557629045,0.3056379738642335,0.3246026159430758,5.827990820685638e-18,6.091322023135409e-18,3.0656993739102656e-18,0.3004415000013978
0.8666666666666667,0.25389601036725923,0.2729103139771223,0.30131023542353275,6.9307452396819084e-18,9.74246233789717e-18,1.802821781485411e-17,0.2890692000000854
1.1,0.2398413459272459,0.2525545476620118,0.28667216391061257,8.508859092024989e-18,1.3774918221984423e-17,1.3738669323859352e-17,0.31179709999923944
1.3333333333333333,0.23457869407095028,0.2420828943093653,0.27688990894354815,1.0648075868201709e-17,1.826075877362452e-17,5.0452571952001595e-18,0.29320390000066254
1.5666666666666664,0.23410430882190092,0.2398138389134601,0.26989061031867695,1.319725724994252e-17,2.3355512360272682e-17,8.476188356285322e-18,0.3280106000001979
1.7999999999999998,0.23612266786724317,0.24439760362969815,0.2645416027418291,1.6024033477706503e-17,2.9229517230046335e-17,1.1664700694289081e-18,0.2959669000010763
2.033333333333333,0.23935303923054652,0.2544928044960816,0.26021856346051875,1.9045579694651826e-17,3.5997725210221604e-17,2.136371828848381e-20,0.2917563999999402
2.2666666666666666,0.24308822763437768,0.26857462792305264,0.25657407611636196,2.2209197699807406e-17,4.3651980711805624e-17,2.003747657951083e-17,0.2935486000005767
2.4999999999999996,0.24694089952138765,0.2849127769292308,0.25341332466050104,2.547675627642167e-17,5.2018814334308684e-17,1.7311733486436718e-17,0.28927889999977197
2.733333333333333,0.25070240083752104,0.3017261284104199,0.2506264776599581,2.881762537225727e-17,6.076878074921481e-17,1.633467195062947e-18,0.289865099999588
2.9666666666666663,0.25426457434223126,0.31743583815395904,0.24815132427350398,3.2206320820400236e-17,6.948155594985466e-17,1.4277643699788184e-18,0.2915612999986479
3.1999999999999997,0.2575761854569998,0.3308857804655848,0.24595230989518566,3.562196347498296e-17,7.77393384225006e-17,1.2279726516291224e-17,0.30272879999938596
3.433333333333333,0.2606183632551207,0.341434426816887,0.24400862600128093,3.9048173346275056e-17,8.520767053053098e-17,2.40844169545751e-17,0.3212619000005361
3.666666666666666,0.2633905744087435,0.34890926300858366,0.2423073908825211,4.247289437887676e-17,9.167699069012489e-17,2.5586610146680372e-17,0.30048440000064147
3.8999999999999995,0.26590250028358403,0.3534789528020017,0.24083974106932107,4.588803699206204e-17,9.706330220688234e-17,1.0192413734603548e-17,0.3242179999997461
4.133333333333333,0.2681692686313168,0.35550877067578474,0.23959861045211825,4.92889704992948e-17,1.0138267567999643e-16,1.9092574433087524e-17,0.28832209999927727
4.366666666666666,0.270208621982383,0.35544123210160505,0.23857749796664499,5.267393454227215e-17,1.0471681804951498e-16,1.2410813152012537e-17,0.312007900000026
4.6,0.27203922412109494,0.35371607706070685,0.2377698169865794,5.604343408406146e-17,1.0718150110540899e-16,2.556372961384703e-18,0.2858748000016931
4.833333333333333,0.27367964829741576,0.3507262948322363,0.23716858749792502,5.939966536202175e-17,1.0890301022007695e-16,7.60324024379923e-18,0.3219671999995626
5.066666666666666,0.2751477818903998,0.34680026523814,0.23676632480041324,6.274600222523919e-17,1.1000319170397103e-16,1.0753243995942418e-17,0.31145459999970626
5.3,0.27646049014189955,0.3421999400247295,0.2365550419268479,6.608655753919048e-17,1.1059149772432034e-16,6.338803008655173e-18,0.32290089999878546
5.533333333333333,0.2776334434091352,0.33712735246250036,0.23652630533976027,6.94258236696191e-17,1.1076187709553712e-16,6.868373988375105e-18,0.30188020000059623
5.766666666666667,0.27868104846829156,0.33173442779862006,0.2366713450379902,7.276838905501786e-17,1.1059260941500882e-16,2.2424534045488707e-17,0.30404509999971197
6.0,0.27961644593928403,0.32613321641818804,0.236981107836427,7.611872376032628e-17,1.1014768467452276e-16,5.456907231702624e-18,0.3832284999989497
